City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
50,creel,27.75,-107.6333,287.53,11,100,6.04,MX,1680729755
51,arraial do cabo,-22.9661,-42.0278,299.13,78,20,4.63,BR,1680729756
52,xianyang,34.3378,108.7026,278.73,70,100,1.0,CN,1680729756
53,mansehra,34.3333,73.2,284.33,75,99,2.39,PK,1680729756
54,beringovskiy,63.05,179.3167,262.08,95,98,0.74,RU,1680729756
55,port alfred,-33.5906,26.891,291.03,87,0,0.45,ZA,1680729757
56,nanortalik,60.1432,-45.2371,273.13,93,100,1.81,GL,1680729757
57,merke,42.8728,73.1786,283.08,52,64,2.43,KZ,1680729757
58,saint-leu,-21.15,55.2833,297.61,92,53,3.35,RE,1680729758
59,yellowknife,62.456,-114.3525,271.44,69,40,6.69,CA,1680729758
60,saint george,37.1041,-113.5841,284.4,17,0,4.02,US,1680729569
61,avarua,-21.2078,-159.775,300.18,69,91,1.03,CK,1680729758
62,aklavik,68.2191,-135.0107,258.35,84,100,4.37,CA,1680729758
63,deniliquin,-35.5333,144.9667,291.03,47,100,3.25,AU,1680729759
64,puerto ayora,-0.7393,-90.3518,303.13,94,95,2.24,EC,1680729760
65,vaini,-21.2,-175.2,300.24,78,40,5.66,TO,1680729760
66,dingle,10.9995,122.6711,295.23,82,97,2.55,PH,1680729760
67,cabo san lucas,22.8909,-109.9124,299.6,61,20,5.14,MX,1680729737
68,hobart,-42.8794,147.3294,285.07,89,75,1.54,AU,1680729761
69,kemijarvi,66.7131,27.4306,272.33,93,100,3.07,FI,1680729761
70,jumla,29.2747,82.1838,278.22,62,0,2.05,NP,1680729762
71,cape town,-33.9258,18.4232,294.88,71,0,2.06,ZA,1680729605
72,port elizabeth,-33.918,25.5701,292.31,88,0,5.14,ZA,1680729762
73,bluff,-46.6,168.3333,281.45,78,100,11.84,NZ,1680729763
74,lebu,-37.6167,-73.65,288.75,83,95,4.23,CL,1680729763
75,simbahan,6.3032,120.5836,300.45,78,80,4.18,PH,1680729763
76,qaanaaq,77.484,-69.3632,249.73,82,76,1.02,GL,1680729763
77,arkhangelsk,64.5401,40.5433,272.21,69,20,2.0,RU,1680729764
78,seoul,37.5683,126.9778,282.81,100,75,2.06,KR,1680729553
79,catamarca,-28.4696,-65.7852,299.14,58,76,2.68,AR,1680729764
80,russell,32.3502,-85.1999,304.75,45,0,4.63,US,1680729764
81,bengkulu,-3.8004,102.2655,296.25,92,98,1.91,ID,1680729720
82,hasaki,35.7333,140.8333,288.83,68,100,10.29,JP,1680729765
83,chuy,-33.6971,-53.4616,292.33,66,45,4.59,UY,1680729765
84,upernavik,72.7868,-56.1549,250.41,96,100,2.4,GL,1680729765
85,nakambala,-15.8324,27.7799,290.52,75,75,2.06,ZM,1680729766
86,shediac,46.2198,-64.5411,275.98,51,100,3.6,CA,1680729742
87,aden,12.7794,45.0367,300.88,78,7,7.5,YE,1680729766
88,ushuaia,-54.8,-68.3,283.96,43,0,9.77,AR,1680729688
89,nuuk,64.1835,-51.7216,272.49,59,12,16.98,GL,1680729767
90,mount isa,-20.7333,139.5,289.02,77,2,0.0,AU,1680729767
91,salalah,17.0151,54.0924,300.2,57,0,1.03,OM,1680729767
92,oktyabrskoye,43.0645,44.7417,281.23,87,100,4.0,RU,1680729767
93,wrexham,53.0,-3.0,283.73,93,100,2.23,GB,1680729767
94,saint-francois,46.4154,3.9054,278.13,69,0,1.03,FR,1680729768
95,burnie,-41.0667,145.9167,287.01,88,99,4.98,AU,1680729768
96,georgiyevskoye,58.731,45.024,274.24,86,93,3.78,RU,1680729768
97,husavik,66.0449,-17.3389,272.41,95,100,2.17,IS,1680729769
98,hilo,19.7297,-155.09,298.12,78,100,2.57,US,1680729769
99,olafsvik,64.8945,-23.7142,277.56,84,100,2.59,IS,1680729769
100,moen,69.1304,18.6123,276.41,86,0,1.03,NO,1680729770
101,ahar,38.4774,47.0699,285.9,43,0,5.13,IR,1680729770
102,bethel,41.3712,-73.414,283.99,85,100,4.63,US,1680729514
103,narsaq,60.9167,-46.05,274.27,94,100,1.11,GL,1680729772
104,manaira,-7.7061,-38.1544,296.35,63,71,1.21,BR,1680729772
105,olavarria,-36.8927,-60.3225,294.89,47,11,6.38,AR,1680729772
106,saskylakh,71.9167,114.0833,255.07,96,100,3.87,RU,1680729773
107,mount gambier,-37.8333,140.7667,284.75,87,100,2.18,AU,1680729773
108,kununurra,-15.7667,128.7333,298.14,94,100,1.54,AU,1680729542
109,longyearbyen,78.2186,15.6401,269.06,86,100,10.8,SJ,1680729773
110,el tarra,8.5756,-73.0949,302.4,69,84,1.1,CO,1680729774
111,bathsheba,13.2167,-59.5167,301.49,65,20,6.69,BB,1680729501
112,horta,38.5333,-28.6333,288.72,83,20,3.09,PT,1680729774
